have,"Since our hypotheses are based on growth characteristics of crown and stem , the @ORGANISM$ were allocated to the functional groups according to @QUALITY$ ( canopy tree vs. sub-canopy tree ) ( Poorter et al. , 2006 ) , leaf longevity ( evergreen vs. deciduous ) ( Deng et al. , 2008 ) and leaf morphology ( simple leaves , compound leaves , needles ) ."
have,"Commands : as.taxo ( ) , divc ( ) ( div_abgd : Observed number of @ORGANISM$ OTUs based on ABGD method ) dimensionless real Taxonomic biodiversity @QUALITY$ can be given as species richness , or other diversity indices ."
NA,"We demonstrate that I. noli- tangere and I. textori share the same pollination niche ( i.e. , @PHENOMENA$ , pollinator fauna , and @QUALITY$ of pollen on the pollinator s body ) ."
NA,( ppm ) number # decimal st_dev_p_bicar_ppm data/p_bicar.csv csv @QUALITY$ vegetation_class @ENVIRONMENT$ Class string # string vegetation_class dir_quad DIR .
have,"-- - Crown length is calculated as the total tree height minus the height of the bifurcation point , The crown ratio was calculated as crown length divided by the total height of the @ORGANISM$ ( mean_rad : @QUALITY$ ) dimensionless real Crown architecture Crown radii in the eight subcardinal directions were determined by means of a crown mirror ."
have,"Commands : as.taxo ( ) , divc ( ) Observed number of @ORGANISM$ OTUs @QUALITY$ ( div_abgd ) , div_abgd Taxon diversity can be given as species richness , or other diversity indices ."
influence,"Features of @MATTER$ / Chargo al ( depth ) influence @QUALITY$ II ; chargo51 Soil description ( according to `` Bodenkundliche Kartieranleitung Kartieranleitung ) ( parent_material53 ) , parent_material53 Basic information on soil properties , according to `` Eckelmann , W. , Sponagel , H. , Grottenthaler , W. , Hartmann , J. K. , Hartwich , R. , Janetzko , P. , ... & Traidl , R. ( 2005 ) ."
have,"Spatiotemporal modulation of biodiversity in a synthetic chemical-mediated ecosystem Biodiversity , or the relative @QUALITY$ of @ORGANISM$ , measures the persistence of an ecosystem ."
NA,"Species were removed in a subtractive fashion so that biomass was allowed to vary with each @ORGANISM$ removal , and key @PHENOMENA$ were measured at each stage of community disassembly ."
NA,"In 18 grazed and 21 improved fallows , we estimated biomass and quantified @MATTER$ , soil base cations , sand content , and soil infiltration @QUALITY$ ."
NA,"The effects of the biomass-species richness interaction on complementarity varied among the individual processes , but the aggregated measures of complementarity over all @ENVIRONMENT$ processes were significantly higher at the highest community @QUALITY$ level ."
NA,"It would then only be counted in the central subplot as contributing to the biomass.Helper ; Datagroup description : Helper Plant height ( height ) , meter height measuring @ORGANISM$ height ( height : @QUALITY$ of snag : The height is measured on all upright CWD ( i.e ."
have,"end date of the event Helper ( event_mm_bo ) , millimeter event_mm_bo Helper column to understand other columns in this data set ( event_mm_bo : rainfall amount as measured by the rainfall collecting bottle ; copied from the rainfall event overview ) Helper column to understand other columns in this data set Helper Helper column to understand other columns in this data set rainfall amount as measured by the rainfall collecting bottle ; copied from the rainfall event overview Helper ( event_mm_va ) , millimeter event_mm_va Helper column to understand other columns in this data set ( event_mm_va : rainfall amount as measured by the Vaisala sensor ; copied from the rainfall event overview ) Helper column to understand other columns in this data set Helper Helper column to understand other columns in this data set rainfall amount as measured by the Vaisala sensor ; copied from the rainfall event overview Helper ( event_mm_tb ) , millimeter event_mm_tb Helper column to understand other columns in this data set ( event_mm_tb : @QUALITY$ as measured by the tipping bucket rain gauge ; copied from the @PHENOMENA$ overview ) Helper column to understand other columns in this data set Helper Helper column to understand other columns in this data set rainfall amount as measured by the tipping bucket rain gauge ; copied from the rainfall event overview Splashcup position ( position_scb ) , position_scb Categories with `` P P and a number indicate splashcups installed in the Main Experimental set up ."
NA,"We compared @ORGANISM$ communities using quantified flower-visitation networks in 36 sites ( each 1 km2 ) in three landscapes : urban , @ENVIRONMENT$ and nature reserves ."
